,close,high,low,p_change,open,pre_close,volume,date,date_week,key,atr21,atr14
2017-08-04,356.91,357.27,343.3,2.8289999999999997,347.0,347.09,9268909,20170804,4,93,18.445160340131164,20.04283225239861
2017-08-07,355.17,359.48,352.75,-0.488,357.35,356.91,6324480,20170807,0,94,17.894626878660468,19.022453346091506
2017-08-08,365.22,368.58,357.4,2.83,357.53,355.17,7449837,20170808,1,95,17.32869158094634,18.042125173604905
2017-08-09,363.53,370.0,358.95,-0.46299999999999997,361.0,365.22,6892096,20170809,2,96,17.101515859100502,17.613841415902318
2017-08-10,355.4,366.65,354.66,-2.2359999999999998,361.6,363.53,7092858,20170810,3,97,16.636791794310575,16.863995284978287
2017-08-11,357.87,361.26,353.62,0.695,356.97,355.4,4365783,20170811,4,98,16.025216450212135,15.936795261222754
2017-08-14,363.8,367.66,362.6,1.6569999999999998,364.63,357.87,4519186,20170814,0,99,15.682899205151442,15.446555594096491
2017-08-15,362.33,365.49,359.37,-0.40399999999999997,365.2,363.8,3085088,20170815,1,100,14.949860010579538,14.403014296684509
2017-08-16,362.91,366.5,362.52,0.16,363.0,362.33,3413773,20170816,2,101,13.952540198687077,13.013278420557144
2017-08-17,351.92,363.3,351.59,-3.028,361.21,362.91,5027660,20170817,3,102,13.748661792508539,12.83950789549992
2017-08-18,347.46,354.0,345.8,-1.2670000000000001,352.91,351.92,5408183,20170818,4,103,14.054253139323636,13.408907038666648
2017-08-21,337.86,345.82,331.85,-2.763,345.82,347.46,6495424,20170821,0,104,14.60116386005161,14.297053031666483
2017-08-22,341.35,342.24,337.37,1.033,341.13,337.86,4321966,20170822,1,105,14.191041255373825,13.736112482487448
2017-08-23,352.77,353.49,338.3,3.346,338.99,341.35,4954504,20170823,2,106,14.321860558111608,13.988630874710243
2017-08-24,352.93,356.66,349.74,0.045,352.52,352.77,4584687,20170824,3,107,14.41169445756196,14.164813458945943
2017-08-25,348.05,355.69,347.3,-1.383,354.24,352.93,3483956,20170825,4,108,13.864250841144251,13.394838201561084
2017-08-28,345.66,347.35,339.72,-0.687,347.28,348.05,3763956,20170828,0,109,13.804771827891598,13.370193104426582
2017-08-29,347.36,349.05,338.75,0.49200000000000005,339.48,345.66,4073675,20170829,1,110,13.486148103349118,12.960833972112999
2017-08-30,353.18,353.47,347.0,1.675,349.67,347.36,3412943,20170830,2,111,12.970122708037623,12.27405603395888
2017-08-31,355.9,358.44,352.82,0.77,353.55,353.18,4072795,20170831,3,112,12.798289759065721,12.114848547654857
2017-09-01,355.4,357.59,353.69,-0.14,356.12,355.9,3049546,20170901,4,113,12.035703390660604,11.087535323470481
2017-09-05,349.59,355.49,345.89,-1.635,353.8,355.4,3848382,20170905,1,114,11.851545337833949,10.943863936766318
2017-09-06,344.53,350.97900000000004,341.56,-1.4469999999999998,349.5,349.59,4091351,20170906,2,115,12.032316798303162,11.330015435720307
2017-09-07,350.61,352.48,343.45,1.765,345.98,344.53,4239213,20170907,3,116,11.75937498899373,11.023346694537933
2017-09-08,343.4,349.78,342.3,-2.056,348.99,350.61,3263508,20170908,4,117,11.370335821508668,10.550900446676566
2017-09-11,363.67,363.71,350.33,5.903,351.39,343.4,7667055,20170911,0,118,11.553034732744056,10.928113735623041
2017-09-12,362.65,368.38,360.71,-0.28,364.02,363.67,5972907,20170912,1,119,12.773681105276447,12.80169863617501
2017-09-13,366.23,368.07,359.59,0.987,363.82,362.65,4172033,20170913,2,120,12.383342631743027,12.225472133945777
2017-09-14,377.4,377.9,362.69,3.05,364.33,366.23,7202524,20170914,3,121,12.643950170200519,12.628742526643604
2017-09-15,379.93,379.96,372.84,0.67,374.53,377.4,5420496,20170915,4,122,12.742682773039101,12.7755768597559
2017-09-18,384.64,389.57,377.81,1.24,380.25,379.93,7187980,20170918,0,123,12.69062031920426,12.69483327686741
2017-09-19,374.86,382.0,373.6,-2.543,380.0,384.64,6451886,20170919,1,124,12.300561314119316,12.122188830192947
2017-09-20,373.91,378.25,371.07,-0.253,373.0,374.86,4910883,20170920,2,125,12.415965533674536,12.315230322351672
2017-09-21,366.59,376.68,364.67,-1.9580000000000002,374.82,373.91,4618190,20170921,3,126,12.379059371786811,12.274532945517182
2017-09-22,351.09,369.9,350.88,-4.228,366.49,366.59,8145541,20170922,4,127,13.347331573921492,13.70859523535698
2017-09-25,344.99,357.47,342.88,-1.7369999999999999,353.15,351.09,7587395,20170925,0,128,14.289396649405148,15.042115883463659
2017-09-26,345.2,351.19,341.01,0.061,350.89,344.99,317231,20170926,1,129,13.915813582226798,14.393833760266734
2017-09-27,340.98,351.22,340.5,-1.222,348.78,345.2,244497,20170927,2,130,13.625283976381697,13.903989255360454
2017-09-28,339.62,342.34,335.41,-0.39899999999999997,340.08,340.98,270890,20170928,3,131,13.276620598393155,13.355457351212687
2017-09-29,340.9,344.65,339.04,0.377,341.96,339.62,258115,20170929,4,132,12.579652911811166,12.322729698782695
2017-10-02,340.96,343.7,335.53,0.018000000000000002,342.8,340.9,181455,20171002,0,133,12.178774235716201,11.769032403008799
2017-10-03,352.14,348.5,331.5,3.279,336.07,340.96,342180,20171003,1,134,12.6170686187723,12.466494752115828
2017-10-04,354.98,358.58,349.61,0.8059999999999999,351.12,352.14,341885,20171004,2,135,13.071881630167296,13.153628787593226
2017-10-05,355.13,357.34,351.56,0.042,355.755,354.98,181812,20171005,3,136,12.408981885498887,12.170478279572245
2017-10-06,355.1,360.02,352.51,-0.008,353.01,355.13,197859,20171006,4,137,11.963619031888788,11.549081173981275
2017-10-09,342.79,351.66,342.67,-3.467,349.57,355.1,300617,20171009,0,138,12.008744654030956,11.670537017729599
2017-10-10,355.86,355.61,345.73,3.813,346.85,342.79,283727,20171010,1,139,11.815222102474072,11.431798748223414
2017-10-11,354.65,357.6,351.18,-0.34,353.755,355.86,4500831,20171011,2,140,12.087475035442296,11.882225582571241
2017-10-12,355.3,359.78,352.78,0.183,352.78,354.65,166571,20171012,3,141,11.624976692105022,11.231262170587753
2017-10-13,355.43,358.44,353.69,0.037000000000000005,356.985,355.3,3540533,20171013,4,142,10.999978058125727,10.36709388005546
2017-10-16,350.56,354.43,347.21,-1.37,353.71,355.43,5375486,20171016,0,143,10.735434308594563,10.063481362373542
2017-10-17,355.78,356.21,350.22,1.489,350.8,350.56,126969,20171017,1,144,10.304030760150011,9.520350513528061
2017-10-18,359.605,362.86,354.19,1.075,355.655,355.78,191765,20171018,2,145,10.485482673448585,9.890970445370488
2017-10-19,351.81,356.77,348.34,-2.168,355.41,359.605,5061843,20171019,3,146,10.298620458482484,9.69617438584525
2017-10-20,345.05,354.47,344.34,-1.921,352.83,351.81,4930395,20171020,4,147,10.750109845410655,10.438684468203352
2017-10-23,337.02,349.92,336.25,-2.327,349.9,345.05,5747346,20171023,0,148,11.187372884062817,11.121526539484789
2017-10-24,337.34,342.8,336.16,0.095,338.8,337.02,4488426,20171024,1,149,10.978520674590484,10.823989667411793
2017-10-25,325.84,337.5,323.56,-3.409,336.7,337.34,8584204,20171025,2,150,11.247746219103217,11.239457711928363
2017-10-26,326.17,330.23,323.2,0.10099999999999999,327.78,325.84,5023500,20171026,3,151,11.5106785153276,11.626196683809589
2017-10-27,320.87,324.59,316.66,-1.625,319.75,326.17,6979704,20171027,4,152,11.298798551894656,11.3000371258672
2017-10-30,320.08,323.78,317.25,-0.24600000000000002,319.18,320.87,4254378,20171030,0,153,11.082544046781665,10.982698842332983
2017-10-31,331.53,331.95,320.18,3.577,320.23,320.08,5672347,20171031,1,154,11.14504006651635,11.087672330046358
2017-11-01,321.08,332.60900000000004,320.26,-3.1519999999999997,332.25,331.53,8457336,20171101,2,155,11.27085464982472,11.279849352745625
2017-11-02,299.26,308.69,292.63,-6.796,300.13,321.08,19791416,20171102,3,156,13.782595932956605,14.962536106356955
2017-11-03,306.09,306.25,295.13,2.282,299.5,299.26,8893974,20171103,4,157,14.888723894393381,16.42753129239809
2017-11-06,302.78,307.5,299.01,-1.081,307.0,306.09,6486009,20171106,0,158,14.307021569677902,15.369193786605983
2017-11-07,306.05,306.5,300.03,1.08,301.02,302.78,5294274,20171107,1,159,13.594564893547009,14.182634614923431
2017-11-08,304.39,306.89,301.3,-0.542,305.5,306.05,4725271,20171108,2,160,12.86687701829135,13.036949999487259
2017-11-09,302.99,304.46,296.3,-0.46,302.5,304.39,5447147,20171109,3,161,12.583524506273044,12.598689999518156
2017-11-10,302.99,308.36,301.85,0.0,302.5,302.99,4625429,20171110,4,162,12.031385815929145,11.786864666188901
2017-11-13,315.4,316.8,299.11,4.096,300.13,302.99,7584944,20171113,0,163,12.545805370945256,12.57394937741427
2017-11-14,308.7,316.35,306.9,-2.124,315.0,315.4,5676076,20171114,1,164,12.619823075448927,12.678756127098204
2017-11-15,311.3,312.49,301.5,0.8420000000000001,306.01,308.7,5978665,20171115,2,165,12.736202811519055,12.84158864349297
2017-11-16,312.5,318.14,311.3,0.385,313.99,311.3,5822073,20171116,3,166,12.436547973824489,12.38804349100827
2017-11-17,315.05,326.67,313.15,0.816,325.67,312.5,13735139,20171117,4,167,12.703225460398885,12.785637692221568
2017-11-20,308.74,315.5,304.75,-2.003,313.79,315.05,8247650,20171120,0,168,12.525659491506364,12.51421933325017
2017-11-21,317.81,318.23,308.71,2.938,310.86,308.74,7261273,20171121,1,169,12.252417694444484,12.114990088805953
2017-11-22,312.6,317.42,311.84,-1.639,316.77,317.81,4917636,20171122,2,170,11.92765242236682,11.65699141028769
2017-11-24,315.55,316.41,311.0,0.9440000000000001,313.79,312.6,3244065,20171124,4,171,11.46241125773135,11.010725888902794
2017-11-27,316.74,317.32,309.85,0.377,313.14,315.55,169414,20171127,0,172,11.099464754699982,10.538629103707386
2017-11-28,317.55,320.0,313.92,0.256,316.36,316.74,4949491,20171128,1,173,10.64314974836232,9.944145223203936
2017-11-29,307.54,318.0,301.23,-3.1519999999999997,317.3,317.55,8767398,20171129,2,174,11.2001361666527,10.85425919345552
2017-11-30,308.85,310.7,304.54,0.426,308.56,307.54,4351587,20171130,3,175,11.364669250945308,11.1416913009981
2017-12-01,306.53,310.32,305.05,-0.7509999999999999,305.44,308.85,4292868,20171201,4,176,10.810608383825524,10.35879912752386
2017-12-04,305.2,308.265,300.61,-0.434,306.5,306.53,5835140,20171204,0,177,10.576916702551488,10.076292577184907
